#,latitude,longitude,type,dist
156,-36.877200,174.763390,PATH,3213.6
157,-36.877630,174.763510,PATH,3262.6
158,-36.877680,174.763530,PATH,3268.5
159,-36.877720,174.763550,PATH,3273.3
160,-36.877770,174.763590,PATH,3279.9
161,-36.877820,174.763620,PATH,3286.1
162,-36.877860,174.763670,PATH,3292.4
163,-36.877900,174.763720,PATH,3298.7
164,-36.877940,174.763790,PATH,3306.3
165,-36.877990,174.763880,PATH,3316.1
166,-36.878020,174.763960,PATH,3323.9
167,-36.878040,174.764040,PATH,3331.4
168,-36.878060,174.764130,PATH,3339.7
169,-36.878070,174.764220,PATH,3347.8
170,-36.878070,174.764310,PATH,3355.8
171,-36.877990,174.764400,PATH,3367.8
172,-36.877990,174.764590,PATH,3384.7
173,-36.877990,174.764680,PATH,3392.7
174,-36.877990,174.764590,ROUTED,3400.8
175,-36.877990,174.764400,PATH,3417.7
176,-36.878070,174.764310,PATH,3429.7
177,-36.878070,174.764220,PATH,3437.7
178,-36.878060,174.764130,PATH,3445.8
179,-36.878040,174.764040,PATH,3454.1
180,-36.878020,174.763960,PATH,3461.5
181,-36.877990,174.763880,PATH,3469.4
182,-36.877940,174.763790,PATH,3479.2
183,-36.877900,174.763720,PATH,3486.8
184,-36.877860,174.763670,PATH,3493.1
185,-36.877820,174.763620,PATH,3499.4
186,-36.877770,174.763590,PATH,3505.6
187,-36.877720,174.763550,PATH,3512.2
188,-36.877680,174.763530,PATH,3517.0
189,-36.877630,174.763510,PATH,3522.8
190,-36.877200,174.763390,PATH,3571.9
191,-36.877160,174.763370,PATH,3576.7
192,-36.877120,174.763330,PATH,3582.4
193,-36.877090,174.763280,PATH,3587.9
194,-36.877080,174.763250,PATH,3590.8
195,-36.877040,174.763120,PATH,3603.2
196,-36.877130,174.763020,PATH,3616.7
197,-36.877200,174.762960,PATH,3626.1
198,-36.877250,174.762940,PATH,3631.9
199,-36.877290,174.762910,PATH,3637.1
200,-36.877350,174.762900,PATH,3643.9
201,-36.877400,174.762890,PATH,3649.5
202,-36.877450,174.762880,PATH,3655.1
203,-36.877500,174.762880,PATH,3660.7
204,-36.877570,174.762890,PATH,3668.6
205,-36.877620,174.762900,PATH,3674.2
206,-36.877680,174.762920,PATH,3681.1
207,-36.877730,174.762940,PATH,3686.9
208,-36.877780,174.762970,PATH,3693.1
209,-36.877830,174.763000,PATH,3699.3
210,-36.877870,174.763020,PATH,3704.1
211,-36.878470,174.763560,PATH,3786.4
212,-36.878530,174.763630,PATH,3795.5
213,-36.878580,174.763690,PATH,3803.2
214,-36.878600,174.763720,PATH,3806.7
215,-36.878630,174.763760,ROUTED,3811.6
216,-36.878670,174.763840,PATH,3820.0
217,-36.878730,174.763930,PATH,3830.4
218,-36.878750,174.764000,PATH,3837.1
219,-36.878780,174.764080,PATH,3844.9
220,-36.878790,174.764150,PATH,3851.3
221,-36.878800,174.764200,PATH,3855.8
222,-36.878800,174.764310,PATH,3865.6
223,-36.878800,174.764380,PATH,3871.9
224,-36.878790,174.764440,PATH,3877.3
225,-36.878760,174.764560,PATH,3888.5
226,-36.878570,174.765180,PATH,3947.6
227,-36.878540,174.765300,PATH,3958.8
228,-36.878510,174.765390,PATH,3967.5
229,-36.878470,174.765480,PATH,3976.7
230,-36.878430,174.765540,PATH,3983.6
231,-36.878380,174.765620,PATH,3992.7
232,-36.878330,174.765700,PATH,4001.7
233,-36.878270,174.765760,PATH,4010.3
234,-36.878210,174.765820,PATH,4018.8
235,-36.878140,174.765880,PATH,4028.3
236,-36.877450,174.766340,PATH,4115.3
237,-36.877420,174.766350,PATH,4118.8
238,-36.877380,174.766360,PATH,4123.3
239,-36.877340,174.766350,PATH,4127.9
240,-36.877300,174.766330,PATH,4132.7
241,-36.877270,174.766310,PATH,4136.4
242,-36.877180,174.766200,PATH,4150.5
243,-36.877080,174.766100,PATH,4164.7
244,-36.876980,174.766030,PATH,4177.5
245,-36.876930,174.765990,PATH,4184.1
246,-36.876860,174.765960,PATH,4192.3
247,-36.876790,174.765930,PATH,4200.6
248,-36.876700,174.765900,PATH,4210.9
249,-36.876210,174.765790,PATH,4266.3
250,-36.876160,174.765780,PATH,4272.0
251,-36.876100,174.765780,PATH,4278.7
252,-36.876040,174.765800,PATH,4285.6
253,-36.875550,174.765990,PATH,4342.7
254,-36.875400,174.766050,PATH,4360.2
255,-36.875340,174.766060,PATH,4367.0
256,-36.875300,174.766070,PATH,4371.5
257,-36.875200,174.766090,PATH,4382.8
258,-36.875100,174.766110,PATH,4394.0
259,-36.875000,174.766120,PATH,4405.2
260,-36.874900,174.766140,PATH,4416.5
261,-36.874750,174.766200,PATH,4434.0
262,-36.874740,174.766200,PATH,4435.1
263,-36.874640,174.766250,PATH,4447.1
264,-36.874540,174.766290,ROUTED,4458.8
265,-36.874470,174.766310,PATH,4466.8
266,-36.874410,174.766330,PATH,4473.7
267,-36.874340,174.766330,PATH,4481.5
268,-36.874280,174.766330,PATH,4488.2
269,-36.874140,174.766310,PATH,4503.9
270,-36.874020,174.766300,PATH,4517.3
271,-36.873950,174.766280,PATH,4525.3
272,-36.873880,174.766260,PATH,4533.2
273,-36.873810,174.766230,PATH,4541.5
274,-36.873740,174.766190,PATH,4550.1
275,-36.873680,174.766150,PATH,4557.6
276,-36.873630,174.766100,PATH,4564.7
277,-36.873610,174.766070,PATH,4568.2
278,-36.873580,174.766030,PATH,4573.1
279,-36.873550,174.765960,PATH,4580.2
280,-36.873530,174.765900,PATH,4586.0
281,-36.873520,174.765850,PATH,4590.6
282,-36.873450,174.765430,PATH,4628.8
283,-36.873430,174.765380,PATH,4633.7
284,-36.873410,174.765320,PATH,4639.5
285,-36.873380,174.765260,PATH,4645.8
286,-36.873360,174.765220,PATH,4650.0
287,-36.873320,174.765170,PATH,4656.3
288,-36.873300,174.765120,PATH,4661.3
289,-36.873280,174.765090,PATH,4664.8
290,-36.873270,174.765030,PATH,4670.2
291,-36.873260,174.765000,PATH,4673.1
292,-36.873240,174.764860,PATH,4685.8
293,-36.873240,174.764780,PATH,4692.9
294,-36.873250,174.764680,PATH,4701.9
295,-36.873280,174.764470,PATH,4720.9
296,-36.873300,174.764410,PATH,4726.7
297,-36.873330,174.764380,PATH,4731.0
298,-36.873400,174.764340,PATH,4739.5
299,-36.873420,174.764350,PATH,4741.9
300,-36.873440,174.764360,PATH,4744.3
