path	image_width	image_height	image_x0	image_y0	image_xn	image_yn	data_offset	image_E0	image_N0
01-north-cape-subset01-01x01.tif	1000	1000	32000	0	32999	999	639	1492000.0	6234000.0
01-north-cape-subset02-01x02.tif	1000	1000	33000	0	33999	999	639	1507000.0	6234000.0
01-north-cape-subset03-01x03.tif	1000	1000	34000	0	34999	999	639	1522000.0	6234000.0
01-north-cape-subset04-01x04.tif	1000	1000	35000	0	35999	999	639	1537000.0	6234000.0
01-north-cape-subset05-01x05.tif	1000	1000	36000	0	36999	999	639	1552000.0	6234000.0
01-north-cape-subset06-01x06.tif	1000	1000	37000	0	37999	999	639	1567000.0	6234000.0
01-north-cape-subset07-01x07.tif	1000	1000	38000	0	38999	999	639	1582000.0	6234000.0
01-north-cape-subset08-01x08.tif	1000	1000	39000	0	39999	999	639	1597000.0	6234000.0
01-north-cape-subset09-02x01.tif	1000	1000	32000	1000	32999	1999	639	1492000.0	6219000.0
01-north-cape-subset10-02x02.tif	1000	1000	33000	1000	33999	1999	639	1507000.0	6219000.0
01-north-cape-subset11-02x03.tif	1000	1000	34000	1000	34999	1999	639	1522000.0	6219000.0
01-north-cape-subset12-02x04.tif	1000	1000	35000	1000	35999	1999	639	1537000.0	6219000.0
01-north-cape-subset13-02x05.tif	1000	1000	36000	1000	36999	1999	639	1552000.0	6219000.0
01-north-cape-subset14-02x06.tif	1000	1000	37000	1000	37999	1999	639	1567000.0	6219000.0
01-north-cape-subset15-02x07.tif	1000	1000	38000	1000	38999	1999	639	1582000.0	6219000.0
01-north-cape-subset16-02x08.tif	1000	1000	39000	1000	39999	1999	639	1597000.0	6219000.0
01-north-cape-subset17-03x01.tif	1000	1000	32000	2000	32999	2999	639	1492000.0	6204000.0
01-north-cape-subset18-03x02.tif	1000	1000	33000	2000	33999	2999	639	1507000.0	6204000.0
01-north-cape-subset19-03x03.tif	1000	1000	34000	2000	34999	2999	639	1522000.0	6204000.0
01-north-cape-subset20-03x04.tif	1000	1000	35000	2000	35999	2999	639	1537000.0	6204000.0
01-north-cape-subset21-03x05.tif	1000	1000	36000	2000	36999	2999	639	1552000.0	6204000.0
01-north-cape-subset22-03x06.tif	1000	1000	37000	2000	37999	2999	639	1567000.0	6204000.0
01-north-cape-subset23-03x07.tif	1000	1000	38000	2000	38999	2999	639	1582000.0	6204000.0
01-north-cape-subset24-03x08.tif	1000	1000	39000	2000	39999	2999	639	1597000.0	6204000.0
01-north-cape-subset25-04x01.tif	1000	1000	32000	3000	32999	3999	639	1492000.0	6189000.0
01-north-cape-subset26-04x02.tif	1000	1000	33000	3000	33999	3999	639	1507000.0	6189000.0
01-north-cape-subset27-04x03.tif	1000	1000	34000	3000	34999	3999	639	1522000.0	6189000.0
01-north-cape-subset28-04x04.tif	1000	1000	35000	3000	35999	3999	639	1537000.0	6189000.0
01-north-cape-subset29-04x05.tif	1000	1000	36000	3000	36999	3999	639	1552000.0	6189000.0
01-north-cape-subset30-04x06.tif	1000	1000	37000	3000	37999	3999	639	1567000.0	6189000.0
01-north-cape-subset31-04x07.tif	1000	1000	38000	3000	38999	3999	639	1582000.0	6189000.0
01-north-cape-subset32-04x08.tif	1000	1000	39000	3000	39999	3999	639	1597000.0	6189000.0
