lat,lng,elev
-36.874410,174.762520,107.9
-36.874401,174.762529,108.1
-36.874383,174.762547,108.6
-36.874380,174.762550,108.7
-36.874261,174.762694,111.2
-36.874245,174.762715,111.8
-36.874217,174.762749,111.8
-36.874126,174.762860,110.9
-36.874107,174.762883,111.5
-36.874060,174.762940,111.0
-36.874010,174.763020,110.9
-36.874007,174.763025,109.4
-36.873969,174.763089,110.8
-36.873950,174.763120,110.8
-36.873928,174.763192,107.7
-36.873920,174.763220,111.7
-36.873890,174.763300,112.2
-36.873882,174.763359,111.0
-36.873870,174.763450,114.5
-36.873849,174.763526,114.6
-36.873840,174.763560,115.7
-36.873826,174.763606,116.2
-36.873800,174.763690,117.0
-36.873798,174.763694,112.9
-36.873760,174.763780,117.0
-36.873750,174.763810,117.2
-36.873730,174.763860,117.4
-36.873730,174.763860,116.2
-36.873686,174.763936,117.7
-36.873634,174.764026,116.1
-36.873620,174.764050,118.4
-36.873547,174.764152,118.9
-36.873520,174.764190,119.2
-36.873518,174.764192,116.7
-36.873500,174.764210,119.2
-36.873520,174.764250,120.5
-36.873520,174.764290,121.4
-36.873510,174.764320,121.8
-36.873490,174.764350,122.0
-36.873496,174.764360,123.5
-36.873543,174.764439,125.1
-36.873550,174.764450,125.5
-36.873570,174.764480,126.6
-36.873600,174.764510,128.0
-36.873621,174.764531,130.4
-36.873630,174.764540,129.4
-36.873660,174.764560,130.6
-36.873677,174.764563,131.1
-36.873710,174.764570,132.0
-36.873750,174.764580,133.1
-36.873770,174.764580,133.6
-36.873812,174.764572,134.4
-36.873820,174.764570,134.5
-36.873870,174.764550,135.1
-36.873889,174.764537,136.5
-36.873900,174.764530,135.3
-36.873940,174.764490,135.1
-36.873948,174.764482,135.1
-36.873960,174.764470,135.0
-36.874000,174.764450,135.1
-36.874070,174.764410,135.2
-36.874160,174.764375,135.7
-36.874221,174.764351,135.2
-36.874250,174.764340,135.3
-36.874356,174.764315,136.1
-36.874420,174.764300,136.8
-36.874492,174.764284,137.6
-36.874628,174.764253,139.5
-36.874640,174.764250,139.7
-36.874763,174.764221,141.6
-36.874765,174.764221,146.6
-36.874810,174.764210,143.4
-36.874899,174.764180,146.6
-36.874990,174.764150,149.0
-36.875035,174.764144,150.1
-36.875060,174.764140,150.2
-36.875085,174.764130,150.2
